Team ,Auton Gears ,Auton Baseline Cross ,Baseline Cross points ,Auton High Goal Balls ,Auton High Goal Points ,Auton Low Goal Balls ,Auton Low Goal Points ,Average Teleop Gears ,Max Teleop Gears ,Average Total Gears ,Max Total Gears ,Teleop High Goal Balls ,Teleop High Goal Points ,Teleop Low Goal Balls ,Teleop Low Goal Points ,Climb Percentage ,Avergae Climb Points Per Game ,Climb Time ,Catch Time 
5705,0,1,5,0,0,0,0,1.75,3,1.75,3,0,0,0,0,0.75,37.5,11.75,3.333333333
5737,0,1,5,0,0,0,0,2,3,2,3,0,0,0,0,0.75,37.5,9,3.5
5818,0.5,1,5,0,0,0,0,3,4,3.5,6,0,0,0,0,0.5,25,3.333333333,3.333333333
5887,0.2,0.8,4,0,0,0,0,0.8,2,1,2,0,0,0,0,0.6,30,2.666666667,3.333333333
6023,0.25,1,5,0,0,0,0,2,2,2.25,3,0,0,0,0,0.5,25,5.666666667,3.333333333
6055,0.5,1,5,2.75,2.75,0,0,2.25,3,2.75,4,0,0,0,0,0.5,25,1.666666667,15.25
6305,0,1,5,0,0,0,0,0.6,1,0.6,1,2.8,0.933333333,0,0,1,50,6.6,3
6340,0,0.75,3.75,0,0,0,0,2.666666667,3,2.666666667,3,0,0,0,0,1,50,7,5
6366,0.5,1,5,0,0,0,0,2.25,4,2.75,4,0,0,0,0,1,50,2.5,6.5
6429,0,0.6,3,0,0,0,0,1.6,3,1.6,3,0,0,0,0,0.4,20,4.5,3
6434,0.2,1,5,0,0,0,0,0.8,1,1,2,0,0,0,0,1,50,4.8,3
6442,0,1,5,0,0,0,0,1.5,2,1.5,2,0,0,0,0,0.25,12.5,2.666666667,15.25
6517,0.25,1,5,0,0,0,0,1,2,1.25,2,0,0,0,0,0.5,25,1.666666667,1.75
6754,0.25,0.75,3.75,0,0,0,0,0.5,1,0.75,1,0,0,0,0,0.5,25,9,8.666666667
