Team ,Auton Gears ,Auton Baseline Cross ,Baseline Cross points ,Auton High Goal Balls ,Auton High Goal Points ,Auton Low Goal Balls ,Auton Low Goal Points ,Average Teleop Gears ,Max Teleop Gears ,Average Full Cycle Gears,Max Full Cycle Gears,Average Total Gears ,Max Total Gears ,Teleop High Goal Balls ,Teleop High Goal Points ,Teleop Low Goal Balls ,Teleop Low Goal Points ,Climb Percentage ,Avergae Climb Points Per Game ,Climb Time ,Catch Time 
2996,0.5,1,5,0,0,0,0,2.4,0,1.2,4,2.9,4,1.2,0.4,0,0,0.7,35,4.75,4
4965,0.444444444,0.888888889,4.444444444,0,0,0,0,2.777777778,0,0,4,3.222222222,5,0,0,0,0,0.888888889,44.44444444,8.25,3.875
2910,0.4,0.8,4,2.9,2.9,0,0,3.4,0,0,4,3.8,5,0,0,0,0,1,50,3.7,2.7
4400,0.3,1,5,0,0,0,0,2.3,0,0,3,2.6,3,0,0,0,0,0.6,30,4.285714286,10.3
2950,0.1,1,5,0,0,0,0,2.2,0,0,3,2.3,4,0,0,0,0,0.6,30,8.5,3.444444444
4401,0.555555556,1,5,0,0,0,0,2,0,0,2,2.555555556,3,0,0,0,0,0.666666667,33.33333333,2.857142857,6.25
4944,0,0.9,4.5,0,0,1.2,0.4,2.9,0,0,4,2.9,5,0,0,0,0,0.9,45,4.4,3.2
3309,0,0.9,4.5,17.2,17.2,0,0,2.5,0,62.5,4,2.5,6,62.5,20.83333333,0,0,0.888888889,44.44444444,4.125,3.75
3931,0.1,0.9,4.5,7,7,0,0,1.8,0,0.6,1,1.9,3,0.6,0.2,0,0,1,50,3.888888889,3.444444444
1744,0.111111111,0.888888889,4.444444444,0.666666667,0.666666667,2.444444444,0.814814815,2.444444444,0,0,2,2.555555556,4,0,0,0,0,1,50,5.777777778,4.222222222
4403,0.1,0.9,4.5,0,0,0,0,2.5,0,0,2,2.6,5,0,0,0,0,0.6,30,3.857142857,3.571428571
5002,0,0.9,4.5,0,0,0,0,1.9,0,0,2,1.9,3,0,0,0,0,0.3,15,14.6,5.571428571
6023,0.1,1,5,0,0,0,0,2.4,0,0,2,2.5,3,0,0,0,0,0.6,30,4.375,3.333333333
2543,0,1,5,0,0,0,0,2.3,0,0,2,2.3,3,0,0,0,0,0.5,25,3.8,14.75
4005,0.222222222,1,5,0,0,0,0,2,0,0,2,2.222222222,3,0,0,0,0,0.666666667,33.33333333,9.285714286,7.25
2383,0.3,0.9,4.5,2.7,2.7,0,0,2.6,0,0,5,2.9,5,0,0,0,0,0.7,35,4.75,4.222222222
3132,0.8,1,5,9.8,9.8,0,0,1.6,0,39.3,4,2.4,4,39.3,13.1,0,0,1,50,4.7,4.7
1836,0.2,0.8,4,0,0,0,0,2.3,0,0,4,2.5,4,0,0,0,0,0.6,30,4.333333333,7.571428571
5737,0,1,5,0,0,0,0,1.4,0,0,2,1.4,3,0,0,0,0,0.6,30,11.5,3.888888889
5663,0.2,0.9,4.5,0,0,0,0,2,0,0,3,2.2,3,0,0,0,0,0.8,40,4.5,9.2
4613,0,1,5,10.09090909,10.09090909,0,0,1.272727273,0,40,3,1.272727273,3,40,13.33333333,0,0,0.909090909,45.45454545,3.1,3.818181818
5705,0,0.9,4.5,0,0,0,0,1.9,0,0,2,1.9,3,0,0,0,0,0.3,15,13.4,4.833333333
2583,0.2,0.9,4.5,0,0,0,0,1.7,0,0,2,1.9,3,0,0,0,0,0.8,40,8.111111111,3
6429,0,0.8,4,0,0,0,0,2.1,0,0,2,2.1,3,0,0,0,0,0.6,30,4.875,3.625
5496,0.125,0.875,4.375,0,0,0,0,2.125,0,0,4,2.25,4,0,0,0,0,0.875,43.75,7.714285714,4.285714286
6442,0,0.9,4.5,0,0,0,0,1.8,0,0,2,1.8,3,0,0,0,0,0.2,10,3,17.66666667
2896,0.3,1,5,0,0,0,0,1.9,0,0,3,2.2,3,0,0,0,0,0.4,20,3.6,9.571428571
5516,0.111111111,1,5,0,0,0,0,2.111111111,0,0,3,2.222222222,3,0,0,0,0,0.555555556,27.77777778,5.142857143,2.714285714
1912,0,0.777777778,3.888888889,0,0,0,0,1.555555556,0,0,2,1.555555556,3,0,0,0,0,0.888888889,44.44444444,5.375,4.555555556
6517,0.333333333,1,5,0,0,0,0,0.666666667,0,0,0,1,2,0,0,0,0,0.666666667,33.33333333,2.625,2.444444444
5887,0.090909091,0.636363636,3.181818182,0,0,0,0,1,0,0,2,1.090909091,2,0,0,0,0,0.363636364,18.18181818,7.666666667,2.833333333
4915,0,0.9,4.5,5.7,5.7,0,0,0.9,0,61.1,1,0.9,2,61.1,20.36666667,0,0,1,50,5.5,3.1
6434,0.1,1,5,0,0,0,0,1,0,0,1,1.1,2,0,0,0,0,1,50,4.1,3.1
3562,0,0.8,4,0,0,0,0,1.1,0,0,2,1.1,3,0,0,0,0,0.4,20,6,9
6754,0.1,0.8,4,0,0,0,0,0.7,0,0,0,0.8,1,0,0,0,0,0.5,25,7.5,5.285714286
6305,0,1,5,0,0,0,0,0.8,0,1.4,1,0.8,2,1.4,0.466666667,0,0,0.7,35,6.857142857,7.857142857
5454,0,0.9,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,25,3.5,3.428571429
